GI	OM	Gender	Age	EnrolmentFeeInCOP	PlaceOfOrigin	TypeOfHighSchool	GeneralTestScore	Biology	HistoryAndGeography	Philosophy	Phisics	English	Language	Math	Chemistry	NumberOfSemesters	Censored	NumberOfCoursesPassed
85	77	1	28,9	416525	0	0	46,8	45	43,5	40	35	41	53	52	43	6	1	25
46	23	1	27,8	436360	0	0	50,9	44	42	29	71	50	50	49	38	2	0	9
50	54	1	24,7	436360	0	0	42,4	46	36	36	47	43	35	46	49	1	0	0
23	41	1	26,2	436360	0	0	42,4	37,97	48,2	39,64	41,92	31,96	44,91	42,36	49,3	1	0	0
66	5	1	25,4	456194	0	0	44	46,16	44,41	44,92	53,97	43,74	53,53	46,96	57,44	2	0	3
18	41	1	27,3	436360	0	0	42,7	41,3	40,51	43,2	44,61	41,31	48,55	37,95	42,23	1	0	0
54	77	1	26,8	476029	0	0	44	48,54	48,6	51,25	40,12	42,66	50,08	39,73	32,33	2	0	2
89	97	1	26,9	456194	0	0	48,4	66,69	46,09	51,65	53,45	65,86	53,89	53,45	50,5	4	1	18
82	50	1	22,5	416525	0	0	51,2	53,19	38,22	56,82	57,4	38,53	50,45	50,67	49,44	4	1	13
54	30	0	21,7	456194	0	0	59,5	60,48	58,08	62,46	50,75	62,94	50,45	53,16	63,93	6	1	29
6	34	0	21	476029	0	0	53,5	59	42	41	41	43	41	68	47	1	0	1
73	54	0	20,9	456194	0	0	49,2	51	47	53	47	36	49	52	47	6	1	25
99	85	1	25	476029	0	0	46,2	45,64	59,76	43,59	38,57	43,48	47,14	50,54	48,97	6	1	33
80	77	1	21,7	476029	0	0	54,1	50,4	51,26	53,93	37,9	68,86	64,91	58,05	43,65	6	1	23
99	85	1	24	436360	0	0	54	55,8	52,28	36,82	52,53	52,09	54,66	66,35	50,94	5	1	18
98	70	1	19,8	476029	0	0	51,1	52,34	45,79	48,66	69,98	43,11	47,41	55,89	54,1	1	0	0
54	85	0	23	436360	1	0	44,7	40,39	45,79	44,29	53,11	52,09	52,54	49	47,62	6	1	31
23	99	0	22,1	456194	0	0	53,7	59	47	54	37	39	57	42	50	6	1	24
62	70	0	21,3	476029	0	0	45,8	51	37	41	45	39	41	48	34	6	1	29
41	13	1	26,1	436360	0	0	41,6	41,76	43,06	42,38	46,84	40,88	53,22	50,54	44,03	6	1	25
13	9	1	21,8	476029	0	0	47,4	50,4	48,28	37,03	32,09	52,54	40,12	48,17	43,65	6	1	29
46	6	0	21,2	476029	0	0	50,7	55	50	36	51	50	54	46	46	6	1	28
34	13	1	20,8	476029	1	0	42,9	41	50	40	47	43	43	49	49	6	1	28
8	8	1	29,1	436360	0	0	42,6	43,87	51,52	48,87	39,45	42,76	39,01	40,93	35,17	1	0	1
6	9	0	21,4	476029	0	0	44,3	49	50	23	37	37	50	43	45	1	0	0
23	70	1	20,4	476029	0	0	48,3	51	46	41	25	43	58	39	47	6	1	26
23	9	1	23,5	456194	0	0	47,3	47,86	54,54	33,5	36,11	44,92	52,83	46,84	55,55	4	1	14
92	82	1	22,7	436360	0	0	53,4	53,07	51,5	48,86	45,15	56,48	54,54	56,43	52,83	6	1	33
20	8	1	23,9	436360	0	0	58,3	61,28	64,86	44,32	69,72	44,93	62,11	68,39	57,08	1	0	3
15	3	1	24,3	436360	0	0	46,6	47,48	45,79	45,2	37,9	48,42	43,94	50,82	40,31	3	0	6
54	34	1	24,6	416525	0	0	48,1	48	49	49	60	36	57	55	44	1	0	2
4	6	0	38	892553	1	1	42,1	46	39	29	29	33	41	41	47	1	0	1
41	41	0	23,9	476029	0	0	47,8	41,79	46,11	52,09	45,75	46,06	47	42,89	41,52	5	1	20
27	18	0	33,2	416525	0	0	50,3	46	49	44	36	35	54	43	39	2	0	9
8	34	0	29	456194	0	0	47	47	42	46	50	41	49	39	39	1	0	5
99	94	0	48,8	416525	1	0	48,5	44	57	49	57	50	46	60	50	6	1	38
73	38	1	28,9	476029	0	0	65	48,54	53,19	46,6	42,45	41,31	75,15	46,52	42,23	1	0	0
2	9	0	25,7	436360	0	0	43,1	37	33	36	46	43	48	34	38	1	0	4
6	23	0	24,9	476029	0	0	41,6	39	49	51,15	37,1	50	50	40,78	43	2	0	8
6	20	1	31,3	416525	0	0	39,3	40	46	44	31	42	38	44	32	5	1	15
94	34	1	20,7	476029	0	0	55,7	58	49	45	49	43	62	68	56	6	1	35
20	6	1	23,6	476029	1	0	45,3	42	45	49,2	40,91	37,38	44,72	52,61	49,01	6	1	23
30	18	0	28,8	476029	0	0	41,3	44	38	46	34	39	44	42	44	6	1	38
70	34	1	34,9	456194	0	0	55,9	63	58	50	57	59	57	62	45	6	1	32
92	62	1	21,4	456194	0	0	59,7	55	76	44	59	45	62	56	58	6	1	33
59	38	1	26	416525	0	0	49,7	45,64	41,1	41,05	49,32	43,48	55,25	50,54	52,34	6	1	25
46	34	0	21,3	456194	0	0	44,2	44	41	41	56	45	46	59	50	6	1	37
62	30	1	23,8	476029	0	0	57,4	39	51	50	50	39	63	49	45	6	1	29
30	30	1	27,1	436360	1	0	45,7	37,88	48,89	38,82	43,61	30,86	48,36	33,72	31,92	6	1	37
27	54	0	22,4	476029	0	0	43,3	59	42	41	41	36	45	39	38	6	1	23
5	34	1	32,1	416525	0	0	43	40	37	40	40	35	46	39	40	6	1	27
73	77	1	24,1	476029	0	0	48,9	44,68	41,83	39,79	30,87	39,05	54,54	49,14	47,38	6	1	32
6	38	1	23,8	436360	0	0	41	46,76	29,33	39,79	42,59	44,71	43,99	38,23	50,85	6	1	26
34	59	1	22,6	436360	0	0	39,8	45,47	42,25	34,84	50,84	33,81	41,37	35,84	41,62	6	1	33
80	50	1	19,5	476029	0	0	48,2	48	36	33	47	45	35	60	44	3	0	8
23	6	1	27,5	436360	0	0	51,1	46,32	50,02	48,98	53,45	44,74	51,08	52,15	53,84	3	0	6
1	8	1	27,8	416525	0	0	41,1	42,1	35,95	46,4	34,2	40,6	44,1	40,5	43,2	1	0	0
95	77	1	22,1	476029	0	0	48,5	55	37	36	43	41	49	56	37	6	1	23
46	9	0	25,3	436360	0	0	48	43,37	41,1	35,44	41,52	43,48	42,76	58,13	45,4	1	0	3
82	34	0	28,3	436360	0	0	46,1	42,86	47,42	41,37	44,61	41,31	54,64	44,85	49,49	4	1	15
20	30	1	21,2	476029	0	0	42	48	37	29	37	43	53	42	41	1	0	4
62	50	1	23,8	436360	0	0	38,1	38,26	31,93	41,05	38,57	42,2	37,68	36,38	43,47	6	1	28
30	9	0	22,6	416525	0	0	47,6	58	57	32	35	34	50	60	46	6	1	27
15	3	1	25,2	476029	0	0	39,2	51,92	46,09	46,09	44,72	35,21	48,95	47,41	47,22	1	0	1
82	50	1	24,7	416525	0	0	51,3	49	45	29	55	42	52	57	49	1	0	0
95	38	1	26,6	476029	0	0	41,7	45,85	38,47	41,62	34,77	43,4	40,14	46,07	40,8	1	0	4
46	5	1	22,9	476029	1	0	46,5	44	38	18	60	43	46	48	44	1	0	1
99	54	1	27,5	436360	0	1	56,2	64,68	46,6	53,83	67,2	63,07	70,25	55,09	63,95	6	1	32
70	13	0	21,3	476029	0	0	50,1	45	37	40	47	45	49	56	50	4	1	10
82	59	1	24,3	416525	0	0	47,2	35,2	39,05	35,44	54,12	40,88	42,76	50,54	43,47	2	0	5
89	30	1	31,3	436360	0	0	44	43	39	46	35	42	51	42	42	2	0	5
82	70	0	20,7	456194	0	0	50,8	48	57	69	47	41	46	53	55	6	1	31
87	85	1	21,9	456194	0	0	61,1	72,69	58,08	53,93	63,65	61,66	47,24	68,39	46,66	5	1	25
70	13	0	24,4	436360	0	0	48,8	43,61	47,54	48,58	40,06	43,48	48,57	54,77	48,74	6	1	24
94	82	1	20,4	456194	1	0	50,8	51	56	48	55	43	57	60	46	3	0	7
89	54	1	20,3	476029	1	1	58,2	53	46	42	65	52	52	66	57	6	1	29
97	89	0	20,9	476029	0	0	55,9	68	54	44	51	50	37	53	62	2	0	7
91	85	1	21,5	476029	0	0	59,3	60,48	59,87	51,89	60,76	77,13	62,21	50,82	56,56	6	1	35
70	30	0	23,3	456194	0	0	53,3	45	42	52	52	46	54	49	59	1	0	0
66	94	0	20,5	456194	0	0	55	58	51	53	55	36	57	64	55	6	1	37
89	89	1	23,9	476029	1	0	47,9	48,2	50,26	42,25	45,69	30,17	45,12	52,15	52,16	4	1	15
80	62	1	24,1	476029	0	0	47	53,85	45,87	41,86	47,54	47,21	44,91	32,82	50,94	6	1	26
66	34	1	19,5	1020061	1	1	48,5	39	38	26	45	52	44	52	51	6	1	26
99	62	1	29,4	476029	1	0	54,2	47	47,5	46	60	43	47	47	60	6	1	36
82	59	1	21	476029	1	0	57,9	59	59	54	57	55	59	57	63	6	1	34
99	82	0	22	456194	1	0	51,6	46,74	53,79	32,22	47,62	45,2	51,41	58,22	53,59	6	1	35
98	77	1	20,2	977558	0	1	49,9	59	53	60	55	45	46	60	44	1	0	0
46	5	1	31,5	436360	0	0	47,1	48	50	18	57	39	44	49	52	5	1	14
46	30	1	20,3	456194	0	0	38,6	45	30	29	37	27	43	45	41	3	0	3
34	18	1	24,5	416525	0	0	41,4	40,27	43,91	42,25	30,4	40,89	42,72	52,06	40,58	6	1	27
46	38	1	20,4	456194	0	0	38,6	51	30	29	32	34	39	45	53	3	0	3
41	18	0	23,6	476029	0	0	48,9	45,47	44,97	39,58	48,85	44,56	53,65	49,43	56,55	3	0	3
62	38	1	22,3	436360	0	0	51,8	55	59	53	49	50	62	51	53	6	1	28
5	9	1	24	476029	0	0	53,9	60,48	43,18	37,03	60,76	44,93	53,63	58,38	46,19	6	1	21
92	54	1	27,3	337187	0	0	51,3	51,63	41,62	60,98	45,28	44,38	56,52	46,07	48,36	6	1	20
97	94	1	25,7	476029	0	0	48,3	48,2	43,7	46,69	53,45	42,2	45,12	45,01	53,84	6	1	19
8	3	1	25,7	935056	0	1	42,8	34,09	37,14	36,89	43,11	33,22	44,42	49,52	35,31	2	0	8
62	8	1	25,7	476029	0	0	45,9	44,41	52,28	33,69	50,09	40,89	37,71	54,33	33,56	5	1	18
