GI	OM	Gender	Age	EnrolmentFeeInCOP	PlaceOfOrigin	TypeOfHighSchool	GeneralTestScore	Biology	HistoryAndGeography	Philosophy	Phisics	English	Language	Math	Chemistry	NumberOfSemesters	Censored	NumberOfCoursesPassed
99	11	1	22	449904	0	0	52,4	50,4	51,3	47,7	50,6	51,3	50,5	55,6	40,3	3	0	8
85	13	0	23,1	393666	0	0	50,2	46,6	35	47,7	50,8	51,3	59,3	50,7	61,4	1	0	4
103	17	1	20,7	476029	0	0	51,1	48	39	37	49	39	54	59	44	3	0	4
137	26	1	20,8	1847820	0	1	55,2	51	52	60	43	52	69	56	47	2	0	9
113	22	1	21	449904	0	0	55,1	48	55	60	49	47	63	55	53	7	1	33
87	15	0	22	449904	1	0	61,8	53,2	55,8	50,9	60,6	50,9	67,8	65,6	62	7	1	40
92	10	0	23	431158	0	0	58,3	50,4	48,9	44,3	42,7	52,5	62,1	71,4	49,4	7	1	22
124	19	1	22	456194	0	0	52,6	55	53	45	52	45	54	55	50	7	1	40
131	25	1	20,4	431200	0	0	60,6	58	72	48	69	53	54	60	62	7	1	41
81	20	1	21,4	449904	0	0	55,4	63	65	44	63	52	54	53	49	2	0	7
120	15	1	21,3	449904	0	0	52,2	55	55	45	56	50	54	51	47	1	0	4
108	23	0	22,4	449904	0	0	58,7	55	56	54	52	55	62	63	59	7	1	26
115	14	0	20,4	642720	0	1	60,5	55	61	69	59	43	53	64	49	7	1	39
143	20	1	20,6	431158	0	0	56,6	55	55	53	51	58	58	60	62	7	1	35
84	21	0	20,5	4499	0	0	54	51	55	44	59	43	78	46	49	2	0	6
123	16	1	20,3	215579	0	0	53,9	51	60	60	49	45	63	51	47	7	1	34
77	22	0	22	431158	0	0	57,4	59	63	49	51	45	54	64	55	6	1	14
99	14	1	22,3	1285440	0	1	56,8	61,3	64,5	69,5	52	51,3	67	65	57,1	1	0	4
157	31	1	20,9	1847820	0	0	62,4	68	69	60	59	68	58	64	52	7	1	37
125	29	1	21,6	449904	0	0	54,2	55	56	54	49	47	68	52	50	3	0	7
107	21	1	23,3	431158	0	0	54,9	55	55	45	60	36	50	59	56	7	1	41
149	28	1	21	449904	0	0	66,3	68	53	36	55	50	63	86	47	4	0	11
160	13	1	21,2	1847820	0	1	67,8	63	55	60	56	68	78	75	56	6	1	35
137	28	1	20,9	431158	0	0	59,2	55	59	60	60	47	62	59	44	7	1	32
147	29	1	22,6	449904	1	0	57,9	55,9	59,9	48,7	60,6	50,1	53,6	60,9	69,6	1	0	4
116	22	1	21,6	449904	0	0	59,4	45	50	49	59	27	58	69	50	3	0	6
106	21	1	20	476029	0	0	51,7	55	47	60	47	53	62	49	37	3	0	6
